ms num	title [nt.= no title]	tibetan script	extent	ms/xyl	lang/script	dimension	subject - 1	subject - 2
1	Bstan bsrung yongs rdzogs nag 'gros bkod pa bzhugs so	བསྟན་བསྲུང་ཡོངས་རྫོགས་ནག་འགྲོས་བཀོད་པ་བཞུགས་སོ།	1 f	ms	bo-Latn-x-EWTS	26 x 9 cm		
2	 'Brug lug gi gsol 'debs bla ma byangs 'bed bzhugso	འབྲུག་ལུག་གི་གསོལ་འདེབས་བླ་མ་བྱངས་འབེད་བཞུགསོ།	4 ff folded	ms	bo-Latn-x-EWTS	34 x 7 cm	Prayers.	Buddhism--Prayers and devotions.
3	Smon lam gyi rim pa rnams bzhugs so	སྨོན་ལམ་གྱི་རིམ་པ་རྣམས་བཞུགས་སོ།	23 ff	xyl	bo-Latn-x-EWTS	28 x 7 cm	Prayers.	Buddhism--Prayers and devotions.
4	Nyes  pa kun sel byin rlabs sgron me zhes bya ba bzhugs so	ཉེས་པ་ཀུན་སེལ་བྱིན་རླབས་སྒྲོན་མེ་ཞེས་བྱ་བ་བཞུགས་སོ།	7 ff folded	xyl	bo-Latn-x-EWTS	27 x 9 cm	Ritual.	Buddhism--Rituals--Texts.
5	Sgrol ma man+Dal zhi pa chog ga zhugs so	སྒྲོལ་མ་མནྜལ་ཞི་པ་ཆོག་ག་ཞུགས་སོ།	9 ff	ms	bo-Latn-x-EWTS	31 x 8 cm	Ritual.	Buddhism--Rituals--Texts.
6	Mkhas grub rA go a syas mdzad pa'i rnam dag bde chen zhing gi smon lam bzhugs so	མཁས་གྲུབ་རཱ་གོ་ཨ་སྱས་མཛད་པའི་རྣམ་དག་བདེ་ཆེན་ཞིང་གི་སྨོན་ལམ་བཞུགས་སོ།	7 ff   	xyl	bo-Latn-x-EWTS	26 x 9 cm	Prayers.	Buddhism--Prayers and devotions.
7	nt: 1v Gsang ba'i snying bla na ma 'chi pa'i man ngag chig dril du byas nas sgom par byed pa la/ 	གསང་བའི་སྙིང་བླ་ན་མ་འཆི་པའི་མན་ངག་ཆིག་དྲིལ་དུ་བྱས་ནས་སྒོམ་པར་བྱེད་པ་ལ།...	27 ff	ms	bo-Latn-x-EWTS	31 x 8 cm	Spiritual life--Buddhism.	
8	nt: 2r Rgyud mang snyan 'gyur gyis	རྒྱུད་མང་སྙན་འགྱུར་གྱིས།...	40 ff first missing	xyl	bo-Latn-x-EWTS	36 x  9 cm	Spiritual life--Buddhism.	
9	OM A: hUM	ཨོཾ་ཨཱ༔་ཧཱུཾ	1 f	ms	bo-Latn-x-EWTS	28 x 10 cm	Cover.	
10	nt: [1r] Bsangs mchod bzhugs so	བསངས་མཆོད་བཞུགས་སོ།	[6 ff] folded	ms	bo-Latn-x-EWTS	24 x 8 cm	Ritual.	Buddhism--Rituals--Texts.
11	Phyogs bcu mun sel bzhugs so	ཕྱོགས་བཅུ་མུན་སེལ་བཞུགས་སོ།	4 ff  	xyl	bo-Latn-x-EWTS	25 x 8 cm 	Prayers.	Buddhism--Prayers and devotions.
12	 'Phags pa rgyal mtshan gyi rte mo'i dpung rgyan zhes bya ba bzhugs so	འཕགས་པ་རྒྱལ་མཚན་གྱི་རྟེ་མོའི་དཔུང་རྒྱན་ཞེས་བྱ་བ་བཞུགས་སོ།	7 ff folded	xyl	bo-Latn-x-EWTS	27 x 8 cm	Spiritual life--Buddhism.	
13	Skyabs thugs rje ma ngan song kun grol bzhugs so	སྐྱབས་ཐུགས་རྗེ་མ་ངན་སོང་ཀུན་གྲོལ་བཞུགས་སོ།	8 ff folded	xyl	bo-Latn-x-EWTS	27 x 8 cm	Prayers.	Buddhism--Prayers and devotions.
14	Nam par dag pa'i zhing mchog bde ba can gyi zhing gi yon tan smon lam mtha' yas yongs rdzogs pa nan grol lam bzang bzhugs so	ནམ་པར་དག་པའི་ཞིང་མཆོག་བདེ་བ་ཅན་གྱི་ཞིང་གི་ཡོན་ཏན་སྨོན་ལམ་མཐའ་ཡས་ཡོངས་རྫོགས་པ་ནན་གྲོལ་ལམ་བཟང་བཞུགས་སོ།	3 ff folded	xyl	bo-Latn-x-EWTS	28 x 9 cm	Spiritual life--Buddhism.	
15	Rgya gar rdo rje gdan gyi gsol 'debs bzhugs so	རྒྱ་གར་རྡོ་རྗེ་གདན་གྱི་གསོལ་འདེབས་བཞུགས་སོ།	4 ff	xyl	bo-Latn-x-EWTS	27 x 9 cm	Prayers.	Buddhism--Prayers and devotions.
16	Dud don lung rig pa'i mda' mo zhes bya ba bzhugs so	དུད་དོན་ལུང་རིག་པའི་མདའ་མོ་ཞེས་བྱ་བ་བཞུགས་སོ།	12 ff	xyl	bo-Latn-x-EWTS	29 x 8 cm	Prayers.	Buddhism--Prayers and devotions.
17	Gnas brtan phyag mchod? bzhugs? so	གནས་བརྟན་ཕྱག་མཆོད་བཞུགས་སོ།	9 ff folded + 1 loose	xyl	bo-Latn-x-EWTS	26 x 9	Prayers.	Buddhism--Prayers and devotions.
18	Tshangs dbyangs rgya mtsho'i rnam thar lhun 'grugs? kyis bkod pa ces bya ba bzhugs so	ཚངས་དབྱངས་རྒྱ་མཚོའི་རྣམ་ཐར་ལྷུན་འགྲུགས་ཀྱིས་བཀོད་པ་ཅེས་བྱ་བ་བཞུགས་སོ།	10 ff folded	xyl	bo-Latn-x-EWTS	26 x 9	Religious biography.	Spiritual biography.
19	Ri klung gnas khang sogs la khrus chog byed tshul byed nyes pa kun sel bzhugs so	རི་ཀླུང་གནས་ཁང་སོགས་ལ་ཁྲུས་ཆོག་བྱེད་ཚུལ་བྱེད་ཉེས་པ་ཀུན་སེལ་བཞུགས་སོ།	15 ff 	xyl	bo-Latn-x-EWTS	26 x 9	Ritual.	Buddhism--Rituals--Texts.
20	Lha bsangs rnam dag chos sku ma bzhugs so	ལྷ་བསངས་རྣམ་དག་ཆོས་སྐུ་མ་བཞུགས་སོ།	31 ff	xyl	bo-Latn-x-EWTS	27 x 8	Prayers.	Buddhism--Prayers and devotions.
21	Skyabs 'gro khrus gsol maN+Dal bcas bzhugs so	སྐྱབས་འགྲོ་ཁྲུས་གསོལ་མཎྜལ་བཅས་བཞུགས་སོ།	17 ff	xyl	bo-Latn-x-EWTS	27 x 9	Ritual.	Buddhism--Rituals--Texts.
22	Rdzogs pa chen po gsang snying thig las/ Tshig bdun bla sgrub mdor bsdus byin rlabs char 'bebs bzhugs	རྫོགས་པ་ཆེན་པོ་གསང་སྙིང་ཐིག་ལས།   ཚིག་བདུན་བླ་སྒྲུབ་མདོར་བསྡུས་བྱིན་རླབས་ཆར་འབེབས་བཞུགས།	5 ff	xyl	bo-Latn-x-EWTS	30 x 9	Ritual.	Buddhism--Rituals--Texts.
23	Grub dbang klong rdol  bla ma rin po che nas mdzad pa'i sman mdo shin tu bsdud pa dang dpal mgon slu sgrub kyi smon lam bcas bzhugso	གྲུབ་དབང་ཀློང་རྡོལ་བླ་མ་རིན་པོ་ཆེ་ནས་མཛད་པའི་སྨན་མདོ་ཤིན་ཏུ་བསྡུད་པ་དང་དཔལ་མགོན་སླུ་སྒྲུབ་ཀྱི་སྨོན་ལམ་བཅས་བཞུགསོ།	6 ff folded	xyl	bo-Latn-x-EWTS	26  x 8	Prayers.	Buddhism--Prayers and devotions.
24	Yid bzhin 'khor lo'i rgyun khyer 'chi med bcud spungs zhes bya ba bzhugs so	ཡིད་བཞིན་འཁོར་ལོའི་རྒྱུན་ཁྱེར་འཆི་མེད་བཅུད་སྤུངས་ཞེས་བྱ་བ་བཞུགས་སོ།	3 ff	xyl	bo-Latn-x-EWTS	30 x 9	Ritual.	Buddhism--Rituals--Texts.
