FILENAME	SHELFMARK	EXTENT	lang/script	LEAF SIZE	WRITTEN SIZE	subject - 1	subject - 2	MATERIAL	MEDIUM	SCRIPT	HANDS	DECORATION	CONDITION	WRITTEN LINES	LAYOUT	FOLIATION	ADDITIONS	PROVENANCE & ACQUISITION	SUMMARY	WORK NUMBER	ROMANIZED AUTHOR NAME(S)	TIBETAN SCRIPT AUTHOR NAME(S)	ROMANIZED TITLE(S)	TIBETAN SCRIPT TITLE(S)	ROMANIZED MARGIN TITLE(S)	TIBETAN SCRIPT MARGIN TITLE(S)	INCIPIT	EXPLICIT	COLOPHON	NOTES	BIBLOGRAPHIC REFERENCE(S)
UkOxU_004_Manuscripts__Tib__a__10_(R).xml	MS. Tibet. a. 10 (R)	95 ff	bo-Latn-x-EWTS	500 x 80	440 x 50	Tibetan language--Dictionaries.		chart	black,red_	dbu med	The main text is in 'bru tsha to which are added khyug annotations in red ink.		good	6		The folios 87-91 are missing		S.C. 33624, 33718. 25 Sept. 1905, donation by the Government of India (listed as 'a book of synonyms').	The treatise on synonymy by Ngag dbang 'Jig grags	1	ngag dbang 'jig rten dbang phyug grags pa	ངག་དབང་འཇིག་རྟེན་དབང་ཕྱུག་གྲགས་པ	mngon brjod mkhas pa'i rna rgyan zhes bya ba	མངོན་བརྗོད་མཁས་པའི་རྣ་རྒྱན་ཞེས་བྱ་བ			thabs dang shes rab phul byung las 'khrungs bla na med pa'i ye shes kyis//_thams cad mkhyen pa'i mngon shes yon tan rkang pa drug pa bde gshegs pa'i// snying po'i pad+ma kun gyis za ba'i bdud rtsi'i rang bzhin can dbang phyug/_rgyal po'i tog gyur bcom ldan shAkya seng ge'i zhabs dag spyi bos mchod//	de ltar mngon brjod kyi bstan bcos mkhas pa'i rna rgyan zhes pa 'di nyid/ paN+Di ta 'chi ba med pa'i seng ge s mdzad pa'i a ma ra ko Sha/_de'i 'grel pa rab 'byor zla ba s mdzad pa/_slob dpon dpal 'dzin sde s mdzad pa'i sna tshogs gsal ba la sogs rgya gzhung dang / bod kyi gnas lnga rig pa'i paN+Di ta chen po sa skya pa kun dga' rgyal mtshan gyis mdzad pa'i tshig gter/ de'i 'grel pa blo brtan bzhi pa s mdzad pa la sogs mngon brjod rang gzhung gi bstan bcos rnams la legs pa'i cha kun btus shing /_gzhan yang bka' 'gyur dang bstan 'gyur nas bshad pa'i ming gi rnam grangs rang blos gang spobs kyi kha bskang ste/_lha sker rigs kyi snyan ngag mkhan chen po ngag dbang 'jig rten dbang phyug grags pa'i rdo rje s khyu mchog gi lor legs byas kyi sgo 'phar brgya che ba rin po che spungs pa 'i pho brang du bgyis pa'o//_'di yang bstan 'gro la phan pa'i phyir du'o//_mang+ga laM//_1 zhus//		The name of this author is also spelt Ngag dbang 'Jigs med Grags pa.	TBRC: W1597
UkOxU_005_Manuscritps__Tib__a__11_(R).xml	MS. Tibet. a. 11 (R)	192 ff	bo-Latn-x-EWTS	570 x 100	520 x 80	Bkaʼ-brgyud-pa (Sect)	Mi-la-ras-pa, 1040-1123.	chart	black,red_	dbu can	 		good	7				S.C. 33625, 33719. 25 Sept. 1905, donation by the Government of India (listed as "Life of the Buddhist saint Mila-Rapa").	The biography of Mi la ras pa	1	ngan rdzong ston pa		dpal bzhad pa'i rdo rje'i rnam thar	དཔལ་བཞད་པའི་རྡོ་རྗེའི་རྣམ་ཐར			no mo 'gu ru/ gangs can khrod du sku 'khrungs kyang //_'jig rten chos kyi ma gos shing //_na ro'i rgyud pas byin rlabs pa'i//_dka' ba spyad pa'i ngo mtshar can//_'gro ba'i nad gso sman pa'i mchog//_nyi zla ltar grags phyag gi gnas//_ mi la zhes byar yongs grags pa'i//_ras pa de pa phyag 'tshal bstod//	de la sogs pa ngo mtshar ba' i ltas bsam gyis mi khyab mod//_bla ma chos skur yal/ /_mthong snang longs skur grub//_thugs rje sprul skur bzhugs so// dpal bzhed pa'i rdo rje 'i rnam thar/ mgur chings dang bcas pa rdzogs+ho////_rnam thar 'di skal ldan bsgom chen rnams kyi don du/_ ngan rdzong ston pa b+ho d+he ra tsa la sogs pa'i ras pa bu chen bcu gnyis kyi yi ger bskod pa'o//_spyir rje btsun de la/_slob ma bsam gyis mi khyab ste/_.... snyan rgyud bde mchog 'khor lo yi//_rgyud pa yid bzhin nor bu 'di// ma 'ongs gdung rgyud 'dzin pa rnams//_blo dman rjed pas 'jigs pa'i phyir//_bla ma'i gsung bzhin yi ger bkod//_bla ma mkha' 'gro la bzod gsol//_phyi rab rten gyi gang zag rnams//_dbang bskur byin brlabs tshogs 'khor dang //_dpa' bo dpa' mo mchod la sogs//_dgyes shing gnang ba ma gtogs pa//_bla ma rje'i bka' rgyas btab//_gal te bka' las 'das gyur na//_mkha' 'gro ko longs dam pas na//_yi ge ma spel gsang bar zhu//_rgyud pa yid bzhin nor bu Da ki sa ma ya//_'di bris dge bas yon mchod sangs rgyas myur thob shog//_dge'o//_bkra shis //			
UkOxU_008_Manuscript__Tib__a_12_1_(R).xml	MS. Tibet. a. 12.1 (R)	353 ff	bo-Latn-x-EWTS	670 x 230	490 x 120	Tripiṭaka. Sūtrapiṭaka. Prajñāpāramitā.	Wisdom literature.	chart		dbu can	The text is written in gold	There is a silk cover for the verso of the first folio	very brittle and fragile	8	The paper is black in colour	The book has the volume marker ka		S.C. 33626, 33720. 25 Sept. 1905, donation by the Government of India (listed, with mss. a.13, a.14 & a.15 as "Prajna Paramita or Transcendental Wisdom in gilt letters"). 	The Ka volume of the Sher phyin from Shel dkar bKa' 'gyur	1			a[āryāṣṭasāhasrikāprajñapāramitā]	ཨ				shAkya se na dz+&A na sid d+hi d+harma tA shI la o bkra shis lde btsan o su b+ha Si ta ng rin chen bzang po o dI paM ka ra shrI dz+&A na ng rin chen bzang po ng blo ldan shes rab /			Derge: 0010 Peking: 0732
	MS. Tibet. a. 12.1 (R)	353 ff	bo-Latn-x-EWTS	670 x 230	490 x 120	Tripiṭaka. Sūtrapiṭaka. Prajñāpāramitā.	Wisdom literature.	chart		dbu can	The text is written in gold	There is a silk cover for the verso of the first folio	very brittle and fragile	8	The paper is black in colour	The book has the volume marker ka		S.C. 33626, 33720. 25 Sept. 1905, donation by the Government of India (listed, with mss. a.13, a.14 & a.15 as "Prajna Paramita or Transcendental Wisdom in gilt letters"). 	The Ka volume of the Sher phyin from Shel dkar bKa' 'gyur	1			'phags pa shes rab kyi pha rol tu phyin pa brgyad stong pa[āryāṣṭasāhasrikāprajñapāramitā]	འཕགས་པ་ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་བརྒྱད་སྟོང་པ			rgya gar skad du /_Ar+ya aSTa sa ha sri ka pra dz+&A pA ra mi tA/_bod skad du 'phags pa shes rab kyi pha rol tu phyin pa brgyad stong pa//_bam po dang po/ sangs rgyas dang byang chub sems dpa' thams cad la phyag 'tshal lo// 'di skad bdag gis thos pa'i dus gcig na/	bcom ldan 'das ma shes rab kyi pha rol tu phyin pa brgyad stong pa rdzogs s+ho// rgya gar gyi mkhan po shAkya se na dang /_ dz+&A na sid d+hi dang /_zhu chen gyi lo ts+tsha ba ban d+he d+harma tA shI la la sogs pas bsgyur cing zhus te gtan la phab pa'o//_slad kyi lha btsan po bkra shis lde btsan gyi bkas/ rgya gar gyi mkhan po su b+ha Si ta dang /_sgra bsgyur gyi lo ts+tsha ba/_dge slong rin chen bzang po s 'grel pa dang mthun par bsgyur ba las slar yang paN Di ta chen po dI paM ka ra shrI dz+&A na dang /_zhu chen gyi lo ts+tsha ba/_dge slong rin chen bzang po s yul dbus kyi dpe dang gtugs nas bcos shing gtan pa phab pa'o//_dus phyis lo ts+tsha ba dge slong blo ldan shes rab kyis kha che dang yul dbus kyi dpe du ma sogs nas gtan la phab pa'o////_ye d+har mA he tu ... shra ma Na//_gcig zhus mang+ga laM//			Derge: 0010 Peking: 0732
UkOxU_009_Manuscript__Tib__a__12_2_(R).xml	MS. Tibet. a. 12.2 (R)	316 ff	bo-Latn-x-EWTS	710 x 215	630 x 140	Tripiṭaka. Sūtrapiṭaka. Prajñāpāramitā.	Wisdom literature.	chart		dbu can	The text is written in gold	There is a silk cover for the verso of the fist folio.	good	8	The paper is bluish in colour	The book has the volume marker ga		S.C. 33626, 33720. 25 Sept. 1905, donation by the Government of India (listed, with mss. a.13, a.14 & a.15 as "Prajna Paramita or Transcendental Wisdom in gilt letters"). 	The Ga volume of Sher phyin from the Shel dkar bKa' 'gyur	1			a[pañcaviṃśatisāhasrikāprajñāpāramitā]	ཨ			/	//		The scribes, Yon seng (f.52), dPal po (f.92), sNye mo Tshe dbang (f. 170) and sNye mo bSod nams Dar rgyas (f.223) and Phur dar (f.277) have signed their names in the left corner. The last two folios are not full.	Derge: 0009 Peking: 0731
	MS. Tibet. a. 12.2 (R)	316 ff	bo-Latn-x-EWTS	710 x 215	630 x 140	Tripiṭaka. Sūtrapiṭaka. Prajñāpāramitā.	Wisdom literature.	chart		dbu can	The text is written in gold	There is a silk cover for the verso of the fist folio.	good	8	The paper is bluish in colour	The book has the volume marker ga		S.C. 33626, 33720. 25 Sept. 1905, donation by the Government of India (listed, with mss. a.13, a.14 & a.15 as "Prajna Paramita or Transcendental Wisdom in gilt letters"). 	The Ga volume of Sher phyin from the Shel dkar bKa' 'gyur	1			shes rab kyi pha rol tu phyind pa stong phrag nyi shu lnga pa[pañcaviṃśatisāhasrikāprajñāpāramitā]	ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིནད་པ་སྟོང་ཕྲག་ཉི་ཤུ་ལྔ་པ			shes rab kyi pha rol tu phyind pa stong phrag nyi shu lnga pa/_bam po dang po//_rgyun du zhugs pa'i 'bras bu rnam par dag pas//_yid kyi 'dus te reg pa'i rkyend kyis tshor ba'i bar du rnam par dag pa/_yid kyi 'dus te reg pa'i rkyend kyis tshor ba rnam par dag pa/	bcom ldan 'das kyis bka' rtsald pa//_rab 'byord 'di la ... rab 'byor de ltar na/ byang chub sems dpa' sems dpa' chen po/_bsam gtan .. phyind pa yongs su 'dzin to//_legs so/_dge'o//_bkra shis par gyurd cig//_... ma hA shra ma NaH//		The scribes, Yon seng (f.52), dPal po (f.92), sNye mo Tshe dbang (f. 170) and sNye mo bSod nams Dar rgyas (f.223) and Phur dar (f.277) have signed their names in the left corner. The last two folios are not full.	Derge: 0009 Peking: 0731
UkOxU_010_Manuscript__Tib__a_13_(R).xml	MS. Tibet. a. 13 (R)	316 ff	bo-Latn-x-EWTS	640 x 220	530 x 130	Tripiṭaka. Sūtrapiṭaka. Prajñāpāramitā.	Wisdom literature.	chart		dbu can	The text is written in gold		brittle	8	The paper is black in colour	The book has the volume marker nga		S.C. 33627, 33721. 25 Sept. 1905, donation by the Government of India. (Donated with mss. a.12, a.14 & a.15). Came with a slip signed by L. A. Waddell dated 22/4/1904.	The volume Nga of the Sher phyin from Shel dkar bKa' 'gyur	1			shes rab kyi pha rol tu phyin pa stong phrag nyi lnga shu pa[pañcaviṃśatisāhasrikāprajñāpāramitā]	ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་སྟོང་ཕྲག་ཉི་ལྔ་ཤུ་པ			shes rab kyi pha rol tu phyin pa stong phrag nyi shu lnga pa/_glegs bam bzhi pa//_bam po dang po/_byang chub sems dpa' sems dpa' chen po/_de ni gzugs la mkhas par rig par bya'o//_byang chub sems dpa' sems dpa' chen po de ni /_tshor ba dang /_'du shes dang /_'du byed dang /_rnam par shes pa la mkhas par rig par bya'o//	shes rab kyi pha rol tu phyin pa stong phrag nyi shu lnga pa las/_yongs su gtad pa'i le'u zhes bya ste/_bdun bcu rtsa drug pa'o////_phyogs bcu'i mtha' yas mu med pa'i 'jig rten gyi khams kyi/_sangs rgyas dang /_byang chub sems dpa' dang /_nyan thos dang /_rang sangs rgyas dang /_'das pa dang /_ma byong pa dang /_da ltar byung ba thams cad kyi yum/_'phags pa shes rab kyi pha rol tu phyin pa stong phrag nyi shu lnga pa//_rdzogs so//_oM ye d+har ma ... ye svA hA//_mang+ga laM b+ha vantu//			Derge: 0009 Peking: 0731
UkOxU_011_Manuscript__Tib__a__14_(R).xml	MS. Tibet. a. 14 (R)	369 ff	bo-Latn-x-EWTS	640 x 210	600 x 130	Tripiṭaka. Sūtrapiṭaka. Prajñāpāramitā.	Wisdom literature.	chart		dbu can	The text is written in gold and silver ink	The title page / first folio is on a board much shorter (42.5 cm) than the text. It is perhaps sawn down to this size. There is also a drawing of jewel at bottom right corner. The recto of the second folio has a silk cover.	brittle	8	The paper is black in colour			S.C. 33628, 33722. 25 Sept. 1905, donation by the Government of India. (Donated with mss. a.12, a.13 & a.15). 	The first volume of the Hundred Thousand Verse on the Perfection of Wisdom	1			shes rab kyi pha rol tu phyin pa stong phrag brgya pa[śatasāhasrikāprajñāpāramitā]	ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་སྟོང་ཕྲག་བརྒྱ་པ			rgya gar skad du /_sha ta sA ha sri ka pradz+&A pa ra mi ta/_bod skad du/_shes rab kyi pha rol tu phyin pa stong phrag brgya pa/_glegs bam thog ma/_bam po dang po/_'di skad bdag gis thos pa'i dus gcig na/_bcom ldan 'das rgyal po'i khab kyi ri bya rgod 'phungs pa la/	bcom ldan 'das de ni 'di ltar/_'du shes mi rtag pa nyid/_'du shes mi rtag pa nyid kyis stong ste/_'du shes mi rtag pa nyid kyi stong pa nyid gang lags pa de yang /_'du shes mi rtag pa nyid ma lags/_'dus shes mi rtag pa nyid las gud na yang stong pa nyid ma mchis te/_'du shes mi rtag nyid kyang stong pa nyid stong pa nyid kyang 'du shes mi rtag pa nyid do //_bcom ldan 'das rnam grangs des na/_byang chub sems dpa' sems dpa' chen po shes rab kyi pha rol tu phyin pa la spyod pa'i tshe/_'du shes mi rtag zhes bgyi bar gnas par mi bgyi'o//	oM sva sti si d+d+haM/_'phrin las dpag med rab tan sa chen steng //_yon tan chu bo sting mtha' yas pa'i dbus//_... bla ma'i gdan sa sgo mo bsam gling nas//_skyes mchog chos .. dkar rgyud mchog//_'gren pa da ltar bzhugs kyi rin po che//_chos rje'i mchog gyur byang chub seng ge pa//_bsrang sngags rdo rje'i rigs 'dzin shags seng pa //_yabs sras mkhan slob zhabs la gus 'phyag 'tshal/ /_... yang rab bstan pa'i bdag po rgyal ba'i sras//_'dus pa rgya mtsho dge 'dun tshogs kyis skor//_yang dag gnas lugs rtogs pa'i rin po che/ /_blo gros dbang phyug bkra shis rgyal mtshan dpal //_chos rje rin po che la gus phyag 'tshal//_kya'i//_pho rong gnyis pa rgyal chen rtse mo nas//_gong mas dbang skur lung dang lags tags 'dzin//_mi dbang chen po lhar rgyal don grub pa / /_khu dbon yab sras sku tshe stan gyur cig//_bde skyid 'dzom pa smon la lhas sdings nas//_stan la gus zhing stong la rab tu rgyas//_shA kya'i tshul 'dzin shAkya las 'tsho ba//_byams dang snying rjes 'khor 'bangs bde la bkod//_spa ba'i sgra 'dul byams pa'i mi bde kyis// drung chen rgyal ba sku tshe stan gyur cig//_kye phun lha bzang jo bo ban can zhol//_mda' na chab chen dal gyis bab pa'i 'gram//_'bur du dod pa mthong smong bkra shis 'dir//_yab mes rigs bzangs gser g.yu rtsegs pa 'dra//_gdung rus khyad 'phags phe chen sgyer pa'i rgyud//_tshul khrims dad ldan dge shes nam rin pa //_... ding sand mkhas pa dpal mgon bdag gis bris//_khyus rig mu tig ltar la rgyus pa 'di//_'phan yul mkhas sdus rnams kyis bzab//_cha ga glegs shing gser rtsi rgyan pa 'di //_ding sang mkhas pa bsod nams mgon po s ..//_rin chen gser dngul 'od zer 'phro ba 'di//_grogs mched gnyis kyis legs pas bzabs//_zhus dag mkhas pas nor ba'i skyon rnams bsal//_... //	There is a verse below the regular text, outside the margin, on the verso of the first folio. It reads: kyai / yul gyi mchog gyur lan pa mthong smon mchog / / gsung rabs khyad 'phags rgyas pa 'bum gyi mchog / / yon gyi bdag po dpal ldan 'phel gyi mchog / / maN g+ha laM / There is also a single page colophon with nine lines describing the production to the text. The orthography is very poor and the silver ink is not very legible.	Derge: 0008 Peking: 0730
UkOxU_012_Manuscript__Tib__a__15_(R).xml	MS. Tibet. a. 15 (R)	305 ff	bo-Latn-x-EWTS	710 x 250	600 x 140	Tripiṭaka. Sūtrapiṭaka. Prajñāpāramitā.	Wisdom literature.	chart	black	dbu can		The title page / first folio is on a board much shorter (47 cm) than the text. It is perhaps sawn down to this size. There are two miniature paintings of Buddha 'Khor ba 'jig and Buddha Kanakamuni, done separately and gummed to the board. The page is ornamented with a design placed between the two initial strokes, showing a flaming jewels, embellished with two small corals (originally three). In between letter in the line, there are also two circular designs depicting sacred vase decorated with inset coral and tiny torquoise on the top. The left one has lost it coral. The gold letter are embossed rising 2-3milimetres and the mantra of Kālacakra is written on the two initial strokes. The page has two layers of silk cover. Folio 2 recto has some floral designs running down the left and right margins as decorations.	good	8	Two circles of about 2.8 diameter appear on each page	The book has volume marker ka. Folio 111 is missing		S.C. 33629, 33723. 25 Sept. 1905, donation by the Government of India. (Donated with mss. a.12, a.13 & a.14). 	The Ka volume of the Twenty-Five Thousand Verse Perfection of Wisdom	1			shes rab kyi pha rol tu phyin pa stong phrag nyi shu lnga pa[pañcaviṃśatisāhasrikāprajñāpāramitā]	ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་སྟོང་ཕྲག་ཉི་ཤུ་ལྔ་པཉི་ཁྲི	nyi khri		rgya gar skad du /_pan tsa bing sha ri sa ha sri ka pradz+&A pa ra mi tA/_bod skad du/_shes rab kyi pha rol tu phyin pa stong phrag nyi shu lnga pa/_bam po dang po/_'di skad bdag gis thos pa'i dus gcig na/_bcom ldan 'das rgyal po'i khab kyi ri/_bya rgod 'phungs pa la/	mi rtag cing mi brtan la/_ther zug ma yin 'gyur ba'i chos can te/_dngos po med pas de'i phyir/_theg pa chen po 'dis/_lha dang /_mi dang /_lha ma yin du bcas pa'i 'jig rten zil gyis mnan te 'byung ba yin no//_ye d+har ma ... shra ma NaH//_sar+ba mang+ga laM//			Derge: 0009 Peking: 0731
UkOxU_013_Manuscript__Tib__a_24.xml	MS. Tibet. a. 24 (R)	293 ff [296?]	bo-Latn-x-EWTS	570 x 125	500 x 80	Rñiṅ ma rgyud ʼbum		chart	black	dbu can	The verso of folio 1 and recto of folio 2 are in gold	There are miniature paintings of Rig 'dzin Tshe dbang Nor bu, Padmasambhava, Mandarava and Ye shes mTsho rgyal, Hung chen Ka ra, Samantabhadra and Amitabha	good	7				S.C. 34697. 17 March 1909, purchased from Sotheby's (London), lot 288. 	The volume Ka of the rNying ma rgyud 'bum	1				རྒྱུད	rgyud		rgya gar skad du /_sar+ba d+harma mahA san ti bo de tsi ta ku la ya rA dza/_bod skad du /_chos thams cad rdzogs pa chen po byang chub kyi sems kun byed rgyal po //_bcom ldan 'das byang chub kyi sems kun byed rgyal po la phyag 'tshal lo//_'di skad bshad pa'i dus na/	rgyud 'di 'dzin pa ni sangs rgyas nyid do//_thams cad sangs rgyas pa'i phyir 'khor ba ka dag go//_'di 'dzin pa ni kun tu bzang po'o//_thams cad rang byung ye shes yin pa'i phyir ro//_rin po che gser gling na rdo dang sa mi snang ba ltar 'khor ba da dag ste rang byung ye shes nyid do //_bram ze rgyas pa'i rgyud las rgyud yongs su gtad pa'i le'u ste bcu drug pa'o//_bram ze rgyas pa'i rgyud rdzogs so//_ye d+harmA .. mahA shra ma NaH//_sar+ba mang+ga laM//		This is the first volume of the rNying ma rGyud 'bum manuscript. The rest of the collection is in the British Library.	
